yyyy-mm-dd, hh:mm:ss.ss, lat, lon, depth, ML, Nsta, RMS, intensity, locality
1768-12-27, 08:00:00.0, 52.270, -2.940, , 2.5, , , 6 ," PRESTEIGNE "
1769-04-02, 05:00:00.0, 51.100, -3.860, , 3.2, , , 5 ," SOUTH MOLTON "
1773-04-22, 11:30:00.0, 53.020, -4.250, , 3.7, , , 6 ," CAERNARVON "
1773-04-23, 13:00:00.0, 49.800, -2.200, , 4.4, , , 5 ," CHANNEL ISLANDS "
1775-09-08, 21:45:00.0, 51.730, -3.810, 19.0, 5.1, , , 6-7 ," SWANSEA "
1775-12-29, 00:00:00.0, 55.240, -3.480, , 2.9, , , ," ANNANDALE "
1776-11-28, 08:15:00.0, 51.000, 1.600, , 4.1, , , 5-6 ," DOVER STRAITS "
1777-09-14, 10:55:00.0, 53.450, -2.300, 15.0, 4.4, , , 6 ," MANCHESTER "
1780-08-29, 08:37:00.0, 53.220, -3.890, 9.0, 3.8, , , 5 ," LLANRWST "
1780-12-09, 16:30:00.0, 54.300, -1.950, 21.0, 4.8, , , 5 ," WENSLEYDALE "
1782-10-05, 20:39:00.0, 53.500, -4.090, , 3.7, , , 4-5 ," AMLWCH "
1783-08-10, 16:00:00.0, 50.630, -4.310, 9.0, 3.6, , , 5-6 ," LAUNCESTON "
1786-08-11, 01:55:00.0, 54.530, -3.680, 16.0, 5.0, , , 6-7 ," WHITEHAVEN "
1787-07-06, 00:00:00.0, 54.590, -3.020, , 2.6, , , 5 ," KESWICK "
1789-05-04, 03:15:00.0, 51.110, -4.040, , 2.9, , , 5 ," BARNSTAPLE "
1789-09-30, 00:00:00.0, 55.940, -3.150, , 2.0, , , 4 ," EDINBURGH "
1792-02-25, 20:40:00.0, 52.530, -0.630, , 4.1, , , 5 ," STAMFORD "
1795-01-02, 01:50:00.0, 56.400, -4.030, , 3.1, , , ," COMRIE "
1795-03-12, 23:00:00.0, 56.400, -4.030, , 3.4, , , ," COMRIE "
1795-07-17, 03:30:00.0, 53.450, -2.380, , 2.7, , , ," MANCHESTER "
1795-11-18, 23:00:00.0, 53.090, -1.330, 10.0, 4.7, , , 6-7 ," DERBY "
1797-08-04, 23:00:00.0, 56.280, -5.470, , 3.8, , , 6 ," ARGYLL "
1800-03-12, 05:30:00.0, 53.150, -3.940, , 3.3, , , 5 ," CONWAY "
1801-06-01, 01:45:00.0, 53.090, -2.730, , 3.6, , , 4 ," CHESTER "
1801-09-06, 13:00:00.0, 56.400, -4.030, , 2.9, , , 4 ," COMRIE "
1801-09-07, 04:00:00.0, 56.400, -4.030, , 3.6, , , ," COMRIE "
1801-09-07, 06:00:00.0, 56.400, -3.990, 9.0, 4.6, , , 6 ," COMRIE "
1802-10-21, 20:15:00.0, 51.840, -4.350, , 3.3, , , 5 ," CARMARTHEN "
1805-01-12, 19:05:00.0, 53.030, -3.430, , 3.0, , , 5 ," RUTHIN "
1805-04-21, 01:00:00.0, 52.740, -2.110, , 3.2, , , 4 ," STAFFORD "
1809-01-09, 05:30:00.0, 56.400, -4.030, , 3.2, , , ," COMRIE "
1809-01-18, 02:00:00.0, 56.340, -3.800, , 3.2, , , 5 ," STRATHEARN "
1809-01-31, 10:30:00.0, 56.700, -5.630, , 2.9, , , 7 ," STRONTIAN "
1809-02-01, 22:00:00.0, 56.700, -5.630, , 3.2, , , ," STRONTIAN "
1809-07-15, 07:30:00.0, 51.460, -3.440, , 2.2, , , 5 ," COWBRIDGE "
1809-08-11, 19:10:00.0, 51.460, -3.440, , 2.2, , , 5 ," COWBRIDGE "
1809-08-11, 21:30:00.0, 51.460, -3.440, , 2.0, , , ," COWBRIDGE "
1809-08-12, 02:00:00.0, 51.460, -3.440, , 2.0, , , ," COWBRIDGE "
1811-11-30, 02:40:00.0, 50.730, -0.850, , 3.4, , , 4 ," CHICHESTER "
1812-05-01, 18:20:00.0, 51.660, -3.810, , 3.0, , , 6 ," NEATH "
1812-10-17, 00:00:00.0, 55.130, -3.660, , 2.0, , , ," DUMFRIES "
1814-10-30, 00:00:00.0, 52.960, -3.960, , 2.0, , , ," MAENTWROG "
1816-03-17, 12:45:00.0, 53.090, -1.180, 5.0, 4.2, , , 7 ," MANSFIELD "
1816-08-13, 22:45:00.0, 57.430, -4.330, 18.0, 5.1, , , 7 ," INVERNESS "
1816-08-13, 23:15:00.0, 57.430, -4.330, , 4.7, , , 4 ," INVERNESS "
1817-04-23, 06:30:00.0, 56.700, -4.940, , 4.5, , , ," WEST SCOTLAND "
1817-11-09, 11:03:00.0, 54.320, -2.780, , 2.8, , , 4 ," KENDAL "
1818-10-31, 13:30:00.0, 54.180, -3.230, , 2.2, , , ," DALTON IN FURNESS "
1818-12-07, 09:00:00.0, 53.160, -4.210, , 2.6, , , ," CAERNARVON "
1820-11-28, 08:00:00.0, 55.420, -3.770, , 2.2, , , ," LEADHILLS "
1820-11-28, 23:30:00.0, 55.420, -3.770, , 2.0, , , ," LEADHILLS "
1820-11-29, 22:30:00.0, 55.420, -3.770, , 2.0, , , ," LEADHILLS "
1820-12-20, 21:05:00.0, 52.800, -4.090, , 2.7, , , 4 ," BARMOUTH "
1820-12-25, 00:00:00.0, 57.230, -5.310, , 3.4, , , ," KINTAIL "
1821-10-22, 07:00:00.0, 56.070, -5.050, , 3.2, , , 4 ," ROTHESAY "
1821-10-23, 15:00:00.0, 56.400, -4.030, , 3.0, , , ," COMRIE "
1822-04-13, 09:30:00.0, 56.450, -3.950, , 2.9, , , 5 ," COMRIE "
1822-09-18, 00:00:00.0, 54.950, -1.660, , 2.0, , , 5 ," DUNSTON "
1824-12-06, 14:00:00.0, 50.770, -0.820, , 2.9, , , 5-6 ," CHICHESTER "
1826-12-25, 15:00:00.0, 55.430, -3.740, , 1.9, , , 4 ," LEADHILLS "
1827-02-09, 19:20:00.0, 53.180, -4.240, , 2.8, , , 5 ," CAERNARVON "
1828-05-20, 16:00:00.0, 55.240, -3.590, , 2.9, , , 5 ," ANNANDALE "
1830-04-22, 00:00:00.0, 54.740, -2.190, , 2.0, , , ," WEARDALE "
1831-03-02, 20:00:00.0, 51.200, 1.490, , 3.1, , , 4-5 ," DEAL "
1831-03-17, 10:30:00.0, 52.800, -5.000, , 2.0, , , 4-5 ," BARDSEY ISLAND "
1832-07-28, 08:30:00.0, 53.170, -2.610, , 3.0, , , 5 ," CHESTER "
1832-07-29, 20:30:00.0, 49.130, -2.080, , 3.0, , , 5 ," JERSEY "
1832-12-30, 08:25:00.0, 51.650, -3.950, 5.0, 4.3, , , 6 ," SWANSEA "
1833-09-18, 10:00:00.0, 50.820, -0.820, , 2.9, , , 6 ," CHICHESTER "
1833-11-13, 02:40:00.0, 50.820, -0.820, , 3.0, , , 5 ," CHICHESTER "
1834-01-23, 02:45:00.0, 50.820, -0.820, 4.0, 3.2, , , 6 ," CHICHESTER "
1834-08-27, 22:45:00.0, 50.820, -0.820, , 3.3, , , 7 ," CHICHESTER "
1835-08-20, 03:30:00.0, 54.020, -2.690, 11.0, 4.4, , , 5-6 ," LANCASTER "
1836-10-24, 23:00:00.0, 55.840, -4.480, , 3.0, , , 5 ," PAISLEY "
1837-10-20, 14:00:00.0, 50.600, -4.280, , 3.2, , , 4 ," TAVISTOCK "
1837-12-31, 07:00:00.0, 54.720, -2.370, , 2.0, , , 4 ," TYNEHEAD "
1839-03-20, 02:30:00.0, 57.030, -4.640, , 3.2, , , 4-5 ," INVERGARRY "
1839-06-11, 08:15:00.0, 53.650, -2.260, , 2.9, , , 5-6 ," ROCHDALE "
1839-09-01, 01:00:00.0, 51.530, -2.810, 9.0, 3.5, , , 5 ," MONMOUTH "
1839-10-10, 04:30:00.0, 56.440, -3.960, , 3.0, , , 5 ," COMRIE "
1839-10-12, 13:00:00.0, 56.450, -3.950, , 3.0, , , 5 ," COMRIE "
1839-10-12, 15:00:00.0, 56.460, -3.930, , 3.6, , , 5-6 ," COMRIE "
1839-10-12, 16:00:00.0, 56.450, -3.980, , 3.0, , , ," COMRIE "
1839-10-14, 14:30:00.0, 56.400, -3.980, , 3.2, , , 5 ," COMRIE "
1839-10-16, 02:45:00.0, 56.400, -3.940, , 3.4, , , 5 ," COMRIE "
1839-10-23, 22:15:00.0, 56.410, -3.960, 9.0, 4.8, , , 7 ," COMRIE "
1839-10-23, 22:45:00.0, 56.400, -3.880, , 4.1, , , 5 ," COMRIE "
1839-10-24, 00:05:00.0, 56.400, -3.940, , 3.1, , , ," COMRIE "
1839-10-24, 02:00:00.0, 56.400, -3.940, , 3.5, , , ," COMRIE "
1840-01-18, 21:20:00.0, 56.400, -4.030, , 3.1, , , 4 ," COMRIE "
1840-01-19, 16:00:00.0, 56.400, -4.010, , 3.2, , , ," COMRIE "
1840-04-07, 16:00:00.0, 56.400, -4.030, , 2.9, , , 4-5 ," COMRIE "
1840-04-11, 20:00:00.0, 54.320, -2.630, , 2.6, , , 4 ," KENDAL "
1840-10-26, 18:45:00.0, 56.400, -4.030, , 2.9, , , ," COMRIE "
1841-03-12, 13:00:00.0, 56.400, -4.030, , 3.1, , , ," COMRIE "
1841-07-30, 14:20:00.0, 56.390, -4.030, , 3.9, , , 6-7 ," COMRIE "
1841-12-20, 16:00:00.0, 57.270, -5.400, , 3.0, , , ," KINTAIL "
1842-02-17, 08:40:00.0, 50.140, -5.180, 3.0, 2.6, , , 5 ," HELSTON "
1842-06-14, 22:30:00.0, 54.190, -0.030, , 2.2, , , 4 ," DALTON IN FURNESS "
1842-08-15, 06:30:00.0, 53.110, -4.440, , 3.0, , , 5 ," CAERNARVON "
1843-02-25, 20:12:00.0, 56.190, -5.300, , 3.4, , , 5 ," ARGYLL "
1843-03-10, 08:00:00.0, 53.670, -2.150, , 3.1, , , 5 ," TODMORDEN "
1843-03-16, 22:30:00.0, 53.920, -3.790, , 4.1, , , ," IRISH SEA "
1843-03-17, 00:55:00.0, 53.920, -3.790, 17.0, 5.0, , , 5-6 ," IRISH SEA "
1843-03-17, 05:00:00.0, 53.920, -3.790, , 3.8, , , ," IRISH SEA "
1843-12-22, 15:53:00.0, 49.500, -3.000, , 4.4, , , 7 ," CHANNEL ISLANDS "
1844-01-14, 12:30:00.0, 56.480, -4.010, , 3.4, , , 4 ," COMRIE "
1844-01-14, 13:05:00.0, 56.440, -4.110, , 3.9, , , 4-5 ," COMRIE "
1844-03-15, 23:20:00.0, 55.620, -2.810, , 2.0, , , 4 ," GALASHIELS "
1845-12-03, 01:20:00.0, 53.840, -2.490, , 2.0, , , ," STONYHURST "
1845-12-03, 02:00:00.0, 53.840, -2.490, , 2.0, , , ," STONYHURST "
1846-11-24, 22:00:00.0, 56.450, -3.950, , 3.0, , , ," COMRIE "
1846-11-24, 23:57:00.0, 56.400, -3.940, 8.0, 4.4, , , 6 ," COMRIE "
1846-11-25, 02:00:00.0, 56.450, -3.950, , 2.9, , , ," COMRIE "
1846-11-25, 04:30:00.0, 56.450, -3.950, , 3.0, , , ," COMRIE "
1846-12-07, 02:00:00.0, 53.500, -4.200, , 2.0, , , 5 ," AMLWCH "
1847-11-16, 15:00:00.0, 51.650, -3.080, , 3.1, , , 5 ," NEWPORT "
1852-04-03, 05:45:00.0, 51.300, -2.700, , 3.2, , , 5 ," WELLS "
1852-06-01, 07:45:00.0, 51.550, -3.800, , 2.9, , , 4 ," SWANSEA "
1852-08-12, 07:40:00.0, 50.490, -4.270, 5.0, 3.4, , , 6 ," CALLINGTON "
1852-11-09, 02:30:00.0, 53.020, -4.300, , 2.7, , , ," CAERNARVON "
1852-11-09, 04:25:00.0, 53.020, -4.300, 24.0, 5.3, , , 6 ," CAERNARVON "
1852-11-09, 04:50:00.0, 53.020, -4.300, , 2.7, , , ," CAERNARVON "
1852-11-09, 08:28:00.0, 53.020, -4.300, , 3.5, , , ," CAERNARVON "
1852-11-09, 09:00:00.0, 53.020, -4.300, , 3.5, , , ," CAERNARVON "
1852-11-19, 22:45:00.0, 53.500, -4.200, , 2.0, , , ," AMLWCH "
1853-02-19, 14:30:00.0, 57.510, -4.840, , 3.9, , , 4-5 ," INVERNESS "
1853-03-27, 23:20:00.0, 52.000, -3.000, , 3.8, , , 5 ," HEREFORD "
1853-04-01, 22:45:00.0, 49.150, -1.700, 21.0, 5.2, , , 7 ," COUTANCES "
1858-04-01, 09:20:00.0, 50.410, -4.460, , 2.9, , , 5 ," LISKEARD "
1858-06-06, 23:45:00.0, 57.200, -4.400, , 3.7, , , 4 ," STRATHERRICK "
1858-09-28, 20:00:00.0, 50.710, -3.900, 5.0, 2.5, , , 4 ," OKEHAMPTON "
1859-08-13, 10:15:00.0, 52.340, 0.980, , 2.8, , , 5 ," IXWORTH "
1859-10-21, 18:45:00.0, 50.570, -5.060, 7.0, 4.0, , , 5 ," PADSTOW "
1859-12-15, 02:30:00.0, 54.130, -2.050, , 3.0, , , 4-5 ," SETTLE "
1860-01-13, 22:54:00.0, 50.460, -5.310, 8.0, 4.0, , , 5-6 ," NEWQUAY "
1862-07-03, 19:30:00.0, 58.610, -3.650, , 2.5, , , 4 ," THURSO "
1863-10-06, 03:22:00.0, 52.000, -2.800, 25.0, 5.2, , , 6 ," HEREFORD "
1864-08-21, 01:26:00.0, 50.860, -0.060, 4.0, 3.1, , , 5-6 ," LEWES "
1864-09-26, 00:35:00.0, 53.860, -2.030, , 3.5, , , 4-5 ," TODMORDEN "
1865-01-02, 01:30:00.0, 55.030, -3.640, , 2.0, , , 3 ," DUMFRIES "
1865-02-15, 11:03:00.0, 54.070, -3.180, 1.0, 2.2, , , 8 ," BARROW "
1867-02-23, 01:15:00.0, 54.440, -3.020, , 2.7, , , 5 ," GRASMERE "
1867-05-08, 22:00:00.0, 56.400, -4.010, , 3.0, , , 4 ," COMRIE "
1867-08-20, 01:30:00.0, 57.860, -5.030, , 3.0, , , 5 ," ULLAPOOL "
1868-01-04, 05:10:00.0, 51.030, -2.880, , 3.0, , , 5 ," LANGPORT "
1868-10-30, 22:35:00.0, 51.730, -3.670, 24.0, 4.9, , , 5-6 ," NEATH "
1868-11-03, 03:55:00.0, 53.300, -4.850, , 2.0, , , 3-4 ," HOLYHEAD "
1869-01-09, 11:17:00.0, 52.340, 0.980, , 3.1, , , 4-5 ," IXWORTH "
1869-03-09, 20:00:00.0, 56.900, -4.860, , 3.1, , , 5-6 ," SPEAN BRIDGE "
1869-03-15, 06:06:00.0, 53.610, -2.170, 5.0, 3.6, , , 6 ," ROCHDALE "
1871-03-17, 18:35:00.0, 54.710, -2.470, 10.0, 3.9, , , 4 ," APPLEBY "
1871-03-17, 20:00:00.0, 54.710, -2.470, , 2.9, , , ," APPLEBY "
1871-03-17, 23:04:00.0, 54.710, -2.470, 21.0, 4.9, , , 5 ," APPLEBY "
1871-03-17, 23:07:00.0, 54.710, -2.470, , 2.0, , , ," APPLEBY "
1871-03-18, 02:00:00.0, 54.710, -2.470, , 3.8, , , ," APPLEBY "
1871-03-18, 06:30:00.0, 54.710, -2.470, , 3.6, , , 4 ," APPLEBY "
1871-03-27, 20:20:00.0, 54.710, -2.470, , 2.4, , , ," APPLEBY "
1871-03-28, 06:00:00.0, 54.710, -2.470, , 2.0, , , ," APPLEBY "
1871-04-15, 20:05:00.0, 56.040, -4.910, 2.0, 3.1, , , 5-6 ," DUNOON "
1871-06-11, 17:10:00.0, 54.480, -3.620, , 2.0, , , ," ST BEES "
1872-08-08, 16:10:00.0, 56.250, -3.940, , 2.9, , , 5-6 ," DUNBLANE "
1872-12-24, 00:00:00.0, 55.230, -3.820, , 1.6, , , ," PENPONT "
1873-04-16, 21:55:00.0, 55.210, -3.830, , 2.4, , , 4 ," PENPONT "
1873-04-17, 02:46:00.0, 55.220, -3.780, , 2.0, , , ," PENPONT "
1874-10-24, 23:30:00.0, 53.300, -4.850, , 2.0, , , 3-4 ," HOLYHEAD "
1874-11-15, 02:00:00.0, 53.090, -4.130, , 3.5, , , 5 ," CAERNARVON "
1875-09-23, 21:57:00.0, 54.280, -2.290, , 3.0, , , 4 ," WENSLEYDALE "
1876-08-11, 22:45:00.0, 55.220, -3.820, , 1.6, , , ," PENPONT "
1876-08-11, 23:30:00.0, 55.220, -3.820, , 1.6, , , ," PENPONT "
1876-08-12, 03:00:00.0, 55.220, -3.820, , 1.9, , , 4 ," PENPONT "
1877-03-11, 11:45:00.0, 56.560, -6.400, , 3.3, , , 5 ," MULL "
1877-04-23, 04:03:00.0, 56.410, -5.730, , 3.2, , , 5 ," MULL "
1878-01-28, 11:53:00.0, 49.800, -0.600, 16.0, 5.0, , , 5 ," NORMANDY "
1878-12-03, 07:30:00.0, 57.320, -5.320, , 3.3, , , 4 ," KINTAIL "
1879-01-04, 00:30:00.0, 61.000, 2.500, , 4.8, , , 3 ," NORTH SEA "
1879-04-08, 20:35:00.0, 53.020, -3.890, , 2.4, , , 4-5 ," BETTWS Y COED "
1879-10-18, 05:30:00.0, 54.710, -3.490, , 2.4, , , 5 ," MARYPORT "
1880-11-28, 17:45:00.0, 56.190, -5.300, 25.0, 5.2, , , 5 ," ARGYLL "
1880-12-12, 17:25:00.0, 54.510, -2.620, , 2.0, , , ," SHAP "
1880-12-29, 00:00:00.0, 54.450, -2.510, , 2.0, , , ," RAVENSTONEDALE "
1881-01-02, 00:00:00.0, 54.450, -2.510, , 2.0, , , ," RAVENSTONEDALE "
1882-05-31, 22:15:00.0, 52.270, -3.130, 5.0, 3.2, , , 5 ," KNIGHTON "
1883-01-16, 17:05:00.0, 51.930, -3.020, , 3.8, , , 5 ," ABERGAVENNY "
1883-03-08, 17:45:00.0, 52.250, -2.700, , 2.0, , , 4 ," LEOMINSTER "
1883-06-25, 13:39:00.0, 50.610, -4.460, 11.0, 4.2, , , 5-6 ," LAUNCESTON "
1883-06-25, 14:07:00.0, 50.600, -4.320, , 3.4, , , 3 ," LAUNCESTON "
1884-04-22, 09:18:00.0, 51.820, 0.900, 3.0, 4.6, , , 8 ," COLCHESTER "
1884-08-26, 02:05:00.0, 49.300, -2.350, , 3.2, , , 5 ," JERSEY "
1885-06-18, 10:47:00.0, 53.870, -0.800, , 3.7, , , 5 ," MARKET WEIGHTON "
1885-06-30, 02:00:00.0, 54.440, -3.050, , 2.0, , , 4 ," GRASMERE "
1885-06-30, 05:45:00.0, 54.440, -3.050, 5.0, 3.1, , , 4-5 ," GRASMERE "
1886-01-04, 10:19:00.0, 50.300, -3.630, 2.0, 3.1, , , 5-6 ," DARTMOUTH "
1886-01-05, 08:40:00.0, 54.370, -3.030, , 2.0, , , 3 ," CONISTON "
1886-04-08, 12:20:00.0, 55.860, -3.050, , 1.2, , , 5 ," GOREBRIDGE "
1886-09-15, 00:00:00.0, 54.300, -2.460, , 2.4, , , ," SEDBURGH "
1886-10-04, 23:00:00.0, 60.720, -0.810, , 2.0, , , 4 ," UNST "
1886-10-05, 01:00:00.0, 60.720, -0.810, , 2.0, , , 4 ," UNST "
1887-04-21, 03:00:00.0, 49.850, -1.990, , 4.3, , , 5 ," CHANNEL "
1887-09-26, 07:40:00.0, 58.450, -4.730, , 3.1, , , 5 ," DURNESS "
1887-12-01, 06:50:00.0, 53.610, -2.530, , 2.4, , , ," CHORLEY "
1887-12-14, 21:30:00.0, 55.040, -3.470, , 2.0, , , 3 ," MOUSWALD "
1887-12-18, 16:55:00.0, 57.950, -5.130, , 2.0, , , 3-4 ," ULLAPOOL "
1888-01-31, 02:00:00.0, 52.470, -1.710, , 3.2, , , 4 ," BIRMINGHAM "
1888-02-02, 05:02:00.0, 57.100, -5.140, 17.0, 4.8, , , 5-6 ," INVERGARRY "
1888-04-11, 19:15:00.0, 53.040, -3.580, 8.0, 3.8, , , 5 ," CORWEN "
1888-07-19, 03:45:00.0, 55.240, -3.290, 5.0, 3.4, , , 5 ," LOCKERBIE "
1889-01-18, 04:10:00.0, 55.870, -3.360, , 2.0, , , ," EDINBURGH "
1889-01-18, 06:53:00.0, 55.870, -3.360, 4.0, 3.2, , , 5 ," EDINBURGH "
1889-02-10, 22:36:00.0, 53.620, -2.420, 10.0, 3.8, , , 5 ," BOLTON "
1889-05-30, 20:19:00.0, 49.400, -0.600, 25.0, 5.2, , , 6 ," NORMANDY "
1889-07-15, 18:00:00.0, 55.700, -5.490, , 3.2, , , 4-5 ," KINTYRE "
1889-10-07, 13:45:00.0, 50.650, -4.630, 4.0, 3.0, , , 5 ," ALTARNUN "
1889-12-08, 10:40:00.0, 53.770, -2.300, , 1.8, , , ," ROSSENDALE "
1890-09-18, 00:00:00.0, 55.250, -3.200, , 1.9, , , 4 ," LOCKERBIE "
1890-11-15, 17:50:00.0, 57.460, -4.350, 10.0, 4.5, , , 6 ," INVERNESS "
1890-11-15, 18:15:00.0, 57.460, -4.350, , 3.4, , , 4 ," INVERNESS "
1890-11-16, 09:15:00.0, 57.460, -4.330, , 3.1, , , 4 ," INVERNESS "
1890-11-16, 20:30:00.0, 57.430, -4.330, , 3.5, , , 5 ," INVERNESS "
1890-12-14, 03:30:00.0, 57.460, -4.350, , 3.1, , , 5 ," INVERNESS "
1892-03-04, 07:30:00.0, 57.970, -5.260, , 3.0, , , 5 ," ULLAPOOL "
1892-06-17, 01:40:00.0, 50.130, -5.250, 4.0, 2.9, , , 5 ," HELSTON "
1892-08-18, 00:24:00.0, 51.700, -5.040, 26.0, 5.1, , , 6 ," PEMBROKE "
1892-08-18, 00:37:00.0, 51.690, -5.040, , 4.0, , , 3-4 ," PEMBROKE "
1892-08-18, 01:40:00.0, 51.700, -5.040, , 4.8, , , 4 ," PEMBROKE "
1892-08-18, 02:50:00.0, 51.710, -5.040, , 4.0, , , ," PEMBROKE "
1893-08-04, 18:41:00.0, 52.720, -1.220, 10.0, 3.7, , , 5 ," LEICESTER "
1893-11-02, 17:45:00.0, 51.810, -4.410, 24.0, 5.0, , , 6 ," CARMARTHEN "
1894-01-12, 23:55:00.0, 56.760, -5.110, , 2.7, , , 4 ," FORT WILLIAM "
1894-01-21, 12:45:00.0, 58.010, -4.130, , 2.0, , , 3-4 ," ROGART "
1894-01-21, 12:48:00.0, 58.010, -4.130, , 2.0, , , 3 ," ROGART "
1894-01-23, 09:00:00.0, 51.200, -3.890, , 2.9, , , 4 ," EXMOOR "
1894-03-08, 12:00:00.0, 55.160, -3.260, , 1.6, , , 4 ," LOCKERBIE "
1894-05-14, 00:00:00.0, 55.190, -3.260, , 2.1, , , 4 ," LOCKERBIE "
1896-05-29, 04:47:00.0, 55.120, -3.300, , 2.4, , , 5 ," LOCKERBIE "
1896-06-01, 13:00:00.0, 55.080, -2.920, , 2.0, , , 4 ," CANONBIE "
1896-12-16, 23:15:00.0, 52.020, -2.550, , 4.1, , , 4 ," HEREFORD "
1896-12-17, 03:00:00.0, 52.020, -2.550, , 4.1, , , 4 ," HEREFORD "
1896-12-17, 05:32:00.0, 52.020, -2.550, 20.0, 5.3, , , 7 ," HEREFORD "
1897-08-05, 06:50:00.0, 55.160, -3.320, , 2.2, , , 5 ," LOCKERBIE "
1898-04-01, 21:55:00.0, 50.140, -5.220, 3.0, 2.8, , , 5-6 ," HELSTON "
1899-02-27, 22:01:00.0, 53.860, -2.380, , 1.6, , , ," PENDLETON "
1899-12-18, 06:50:00.0, 57.010, -5.290, , 2.9, , , ," GLEN QUOICH "
1900-11-14, 08:45:00.0, 53.950, -1.860, , 3.1, , , 4-5 ," SKIPTON "
1901-07-09, 16:23:00.0, 54.800, -3.040, 7.0, 4.1, , , 6 ," CARLISLE "
1901-07-09, 16:26:00.0, 54.800, -3.040, , 3.2, , , 4 ," CARLISLE "
1901-07-09, 16:45:00.0, 54.740, -3.090, , 3.4, , , 4 ," CARLISLE "
1901-07-09, 21:30:00.0, 54.630, -3.190, , 1.6, , , ," KESWICK "
1901-07-10, 01:30:00.0, 54.630, -3.190, , 2.0, , , ," KESWICK "
1901-07-11, 23:10:00.0, 54.630, -3.190, , 2.0, , , ," KESWICK "
1901-07-12, 02:00:00.0, 54.630, -3.190, , 2.0, , , ," KESWICK "
1901-07-14, 23:00:00.0, 54.630, -3.190, , 2.0, , , ," KESWICK "
1901-09-18, 01:24:00.0, 57.430, -4.320, 11.0, 5.0, , , 7 ," INVERNESS "
1901-09-18, 03:56:00.0, 57.430, -4.320, , 4.4, , , 4 ," INVERNESS "
1901-09-30, 03:39:00.0, 57.430, -4.320, , 3.1, , , 5-6 ," INVERNESS "
1902-04-13, 11:50:00.0, 53.640, -0.870, 15.0, 3.7, , , 4 ," DONCASTER "
1902-10-14, 05:15:00.0, 56.780, -5.680, , 3.6, , , 5 ," MOIDART "
